地区,镇,乡,民族乡,街道,民政事业费累计支出,提供住宿的民政机构,养老机构,精神疾病服务机构,儿童福利和救助机构,其他提供住宿机构,提供住宿的民政机构床位,养老机构床位,精神疾病服务机构床位,儿童福利和救助机构床位,其他提供住宿机构床位,不提供住宿的民政机构,孤儿,集中养育孤儿,社会散居孤儿,收养登记,涉外及港澳台收养登记,城市低保人数,城市低保户数,城市低保平均标准,农村低保人数,农村低保户数,农村低保平均标准,临时救助人次数,传统救济人数,流浪乞讨人员救助人次数,儿童救助人次数,农村特困人员救助供养人数,社会捐赠接收站、点、慈善超市数,社区服务指导中心,社区服务中心,社区服务站,其他社区服务机构和设施,社区养老床位数,社会团体,民办非企业单位,基金会,村委会,社区居委会,结婚登记,涉外及港澳台,离婚登记,火化遗体
全国合计,21036,8972,966,8687,28737471.2,39486,36804,143,725,1814,4930812,4650084,65830,97650,117248,658873,198725,61164,137561,6218,82,8180422,4959466,665,36079085,19726248,5842,7459702,325316,597923,27754,4459793,13538,513,27178,318222,96443,3424443,372868,503391,8258,514285,111683,5894196,12968,2669985,4009124
部本级,,,,,,1,,,,1,150,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,1981,99,215,,,,,,
北京市,143,38,5,157,931765.6,589,559,1,11,18,115691,108743,52,2738,4158,12330,1700,1378,322,17,6,68620,41178,1170,39570,23919,14040,6954,,18747,1043,5419,1641,17,202,6445,4523,19045,4534,7594,791,3887,3233,77533,253,49355,78401
天津市,125,3,1,121,396523.7,398,384,1,3,10,61484,59204,620,851,809,3273,591,178,413,5,2,75034,48807,980,68625,35268,11760,55491,,2278,29,10476,597,9,232,1624,550,10027,2328,3467,103,3528,1643,64465,103,45546,57473
河北省,1164,780,46,310,1179926.1,1679,1620,1,9,49,223458,219248,570,813,2827,35725,5790,1767,4023,114,0,185681,121671,705,1610272,1122398,5452,180981,2942,20492,1119,263300,16,18,389,4666,372,225460,10759,21610,533,48716,4431,259292,236,139862,158962
山西省,577,612,,207,661838.1,692,611,3,17,61,67124,61037,1000,1351,3736,8042,5886,2546,3340,18,3,265795,148979,593,987474,697220,5312,164108,6489,61991,877,133456,245,10,504,1210,1262,94048,7574,9550,130,23204,2635,151875,49,46669,22838
内蒙古自治区,508,270,17,246,858201.8,767,704,5,10,48,84010,78567,1730,2037,1676,5162,2228,809,1419,37,1,321374,202903,725,1328546,852319,6243,137676,10050,13336,364,84173,71,4,1012,1526,237,133713,7972,8586,152,11061,2524,100099,65,51718,60278
辽宁省,640,201,54,514,687645.6,2067,1965,,12,90,178474,170502,,1518,6454,18768,5265,2574,2691,22,4,357130,238648,668,686058,450244,5498,123608,6759,26739,964,127592,374,14,821,14252,1373,56001,6700,18953,103,11563,4465,163279,211,96701,244022
吉林省,426,181,28,340,495042.6,1542,1475,7,12,48,145054,134690,4747,3252,2365,16586,3621,1387,2234,17,1,406423,295281,546,545417,354335,4372,157719,,13370,535,76896,18,4,921,11318,129,30330,5735,7337,117,9343,1975,101389,162,68480,94309
黑龙江省,557,345,52,344,520640.3,1704,1626,6,15,57,170069,160580,3705,3339,2445,4755,3142,899,2243,29,0,569862,395715,592,819853,538537,4326,137745,47,6989,983,92925,133,15,848,1656,989,65769,6907,13086,118,8967,2592,118027,194,83339,152917
上海市,106,2,,107,986701.2,702,675,3,4,20,144167,138120,1780,1230,3037,10273,1341,1249,92,37,2,146824,105565,1240,30334,26889,14880,20943,3,6320,180,2047,3031,6,908,4688,3702,28284,4235,12280,476,1568,4471,65204,510,39613,98054
江苏省,712,31,1,514,1592482.5,2568,2430,11,38,89,448357,433540,5472,4044,5301,44638,6965,2381,4584,549,2,112976,73229,760,670425,377888,8990,314608,15741,16410,1508,203534,1268,54,3587,14518,19299,275167,37930,58404,757,14093,7335,355260,487,169457,396412
浙江省,619,259,14,484,1050259.0,1807,1713,2,39,53,329134,320654,1004,3548,3928,39410,2744,1531,1213,783,1,61948,47820,860,554692,382912,10323,74327,1735,29929,837,30438,447,18,1554,12375,9790,313138,25648,43894,795,20272,4981,196652,642,83737,237255
安徽省,968,271,9,262,1495062.9,2278,2187,3,34,54,318083,306767,315,5977,5024,7965,6326,1904,4422,150,0,349610,234133,640,1829625,1076787,7591,70500,19026,24389,402,349665,193,38,1058,3303,2181,119739,14865,18642,175,14478,3511,348584,428,152729,225619
福建省,653,269,19,185,645203.4,700,625,13,11,51,88762,80196,3764,2125,2677,17341,3193,1200,1993,234,7,60795,39946,679,436049,239794,8104,208765,1647,10941,280,62010,22,1,173,2266,1123,143417,18815,14101,409,14325,2708,145955,736,67164,155185
江西省,829,568,8,168,975010.3,1858,1789,3,12,54,168869,163961,889,1531,2488,34138,5205,1455,3750,79,4,341590,212279,706,1463709,895894,5697,144941,948,21797,810,125058,257,7,1116,21848,325,55194,12298,14599,87,16970,3763,205810,254,79469,168856
山东省,1070,59,,693,1121340.3,2204,2125,,17,62,351053,343668,,4348,3037,93581,8242,2103,6139,593,4,124236,77968,626,1330585,885784,5691,87101,137,12906,221,314729,442,86,2276,70341,7674,347541,18278,40778,223,68465,7774,349477,270,151042,499948
河南省,1181,610,12,660,1390595.0,3189,3050,3,29,107,291216,278881,888,4075,7372,52887,18057,4156,13901,234,7,406926,277480,582,2880922,2030718,4503,199566,15939,22926,562,493910,164,8,1936,43982,1391,100478,12775,33604,155,45453,6466,463320,742,195153,114350
湖北省,761,161,10,329,1465246.7,1920,1786,2,48,84,279812,269611,900,4031,5270,37025,5674,1362,4312,222,1,309229,198428,665,1440072,808098,5955,290746,2810,19257,443,240666,170,20,1309,16779,4130,180105,12358,18939,184,22636,4734,228974,283,122745,193442
湖南省,1133,392,83,415,1080911.1,2542,2371,11,42,118,235553,219602,5756,4259,5936,28079,15488,2291,13197,324,3,453238,291270,542,1472316,786275,4868,514977,38190,71100,1609,363195,1567,31,512,3847,1299,161427,16095,20585,371,23834,5439,271914,444,139101,86746
广东省,1114,11,7,483,1850474.2,1982,1834,2,51,95,255794,239026,2045,5583,9140,67155,14853,6575,8278,389,16,152278,82133,873,1257971,505085,8314,108305,1003,37467,953,210747,960,20,2021,25587,26695,243723,31870,38775,1267,19673,6897,441986,2868,157837,359019
广西壮族自治区,806,312,59,132,1321330.9,673,559,4,47,63,98875,90327,2467,3775,2306,14986,10596,1718,8878,1010,7,346564,150703,752,2736301,916154,5307,134531,136066,24068,3258,239818,221,4,242,2124,418,174450,13277,14868,105,14223,2171,218081,2021,85944,75891
海南省,175,21,,22,133811.0,28,21,,1,6,5567,4864,,40,663,3482,802,236,566,44,1,36613,18865,568,150052,60600,5237,30638,22,484,41,21389,,0,94,2803,250,7559,3239,4853,117,2559,654,40538,69,13675,3707
重庆市,624,171,14,234,746401.5,978,922,5,5,46,108468,100933,2612,2529,2394,14837,3308,698,2610,77,0,269454,174495,620,619882,334697,6036,122531,12044,11310,483,99153,987,6,241,8647,1586,70132,7999,9804,88,8006,3205,159679,177,95193,55989
四川省,1961,861,83,458,1616168.2,2737,2415,19,98,205,327265,292148,13758,8249,13110,25521,20822,2547,18275,471,2,719868,448404,602,3778710,2090270,5097,283165,18623,44800,6888,431545,214,48,1691,9998,4965,201680,20880,24342,185,28803,8082,397295,494,192881,169048
贵州省,833,315,193,361,1167676.9,1063,959,17,28,59,91853,81183,3777,3676,3217,23721,10092,1609,8483,38,1,614777,247386,645,2014861,837911,4618,294366,8414,15416,789,88228,45,11,1399,17610,249,97403,7147,6605,66,13234,4450,236149,146,98520,87720
云南省,678,540,140,191,1354724.5,990,882,7,27,74,96475,88457,2650,2867,2501,6292,9493,1467,8026,518,0,408592,261138,643,2460591,1297636,4589,723455,21844,15956,586,115514,60,4,401,3388,276,31733,13807,9505,110,11823,2804,244092,767,87468,118202
西藏自治区,142,534,9,21,89801.7,21,9,,10,2,15393,4766,,4505,6122,70,5823,5286,537,13,0,24776,13486,871,128788,38140,4545,12947,40,699,54,13331,,0,1,0,3,4756,504,44,22,5292,243,23893,104,3885,603
陕西省,979,17,,317,936600.5,801,702,1,18,80,109631,102384,750,3074,3423,11157,5300,2125,3175,80,7,203622,111728,610,1145176,487115,4737,522662,1060,27240,977,125330,179,36,566,2804,524,83299,17165,13482,174,16927,2905,169264,167,66746,50407
甘肃省,892,337,32,127,774814.8,330,260,2,16,52,33529,28220,600,2673,2036,14440,7569,1582,5987,78,0,362763,163004,576,1389033,467275,4507,799188,3337,9513,302,92579,10,12,554,4602,308,121300,16561,6734,84,16013,1456,128789,51,30411,16390
青海省,144,222,28,37,281556.9,81,61,2,10,8,7625,6120,260,954,291,2029,2658,1217,1441,27,0,62543,33443,638,308871,99774,4657,232079,249,5131,423,15718,2,1,25,399,361,13903,4304,1864,32,4144,492,39080,16,9710,4233
宁夏回族自治区,103,90,,48,238021.7,128,104,1,9,14,20777,18066,450,1032,1229,2697,758,315,443,,0,86866,51561,603,393259,282776,4589,79595,2,3970,178,8978,1,2,62,2047,194,8532,3404,2440,75,2259,540,37959,11,11574,2632
新疆维吾尔自治区,413,489,42,200,691692.2,467,381,8,42,36,59040,46019,3269,7626,2126,2507,5193,4619,574,9,0,274415,151820,511,1501046,723536,4733,1225484,149,1952,56,17974,203,9,523,1569,265,7090,4924,3967,39,8966,3104,90282,8,34261,20216
