地区,镇,乡,民族乡,街道,民政事业费累计支出,提供住宿的民政机构,养老机构,精神疾病服务机构,儿童福利和救助机构,其他提供住宿机构,提供住宿的民政机构床位,养老机构床位,精神疾病服务机构床位,儿童福利和救助机构床位,其他提供住宿机构床位,不提供住宿的民政机构,孤儿,集中养育孤儿,社会散居孤儿,收养登记,涉外及港澳台收养登记,城市低保人数,城市低保户数,城市低保平均标准,农村低保人数,农村低保户数,农村低保平均标准,临时救助人次数,传统救济人数,流浪乞讨人员救助人次数,儿童救助人次数,农村特困人员救助供养人数,社会捐赠接收站、点、慈善超市数,社区服务指导中心,社区服务中心,社区服务站,其他社区服务机构和设施,社区养老床位数,社会团体,民办非企业单位,基金会,村委会,社区居委会,结婚登记,涉外及港澳台,离婚登记,火化遗体
全国合计,21014,9220,966,8530,8749106.4,37387,34729,140,694,1824,4679290,4394343,65558,98315,121074,552000,216065,62593,153472,1249,61,8413467,5115062,635,34763990,19045130,5502,2609032,349862,171863,6299,4374025,13422,549,27768,246667,105058,3400080,372398,490619,7820,532395,110134,1556948,5130,612319,1443746
部本级,,,,,,1,,,,1,150,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,1983,99,213,,,,,,
北京市,143,38,5,152,289400.9,591,560,1,12,18,115404,108524,52,2968,3860,12156,1719,1361,358,8,5,65853,39705,1100,38107,23216,13200,3301,,4681,128,5383,1382,17,204,6445,4564,15590,4600,7585,779,3888,3233,16047,86,9189,26029
天津市,126,3,1,119,128560.9,379,365,1,3,10,59258,56978,620,851,809,2924,630,426,204,2,2,75761,49231,980,66100,34033,11760,22270,,794,7,10254,614,9,322,1704,548,10369,2281,3305,100,3543,1623,11471,34,7298,20657
河北省,1155,789,46,310,347480.6,1519,1461,1,9,48,210528,206315,570,834,2809,36575,6762,1821,4941,13,,193024,125102,675,1589600,1109336,5127,92093,3101,5702,147,260184,15,20,386,4751,457,235823,10378,19866,311,48720,4312,47286,148,23677,50128
山西省,577,612,,207,193433.2,652,571,3,16,62,65347,59370,1000,1231,3746,7867,6629,2605,4024,3,3,275711,153721,567,948580,677260,4990,62294,6293,7078,85,131880,169,10,515,1403,1243,91611,7540,9356,112,25063,2614,28686,19,9583,7920
内蒙古自治区,508,270,17,246,262539.7,746,682,5,10,49,83344,77894,1730,2037,1683,5160,2434,825,1609,12,1,333022,208494,689,1285840,827687,5875,63062,10675,4638,78,83151,75,4,1012,1528,243,134465,8408,8585,142,11059,2503,21754,18,10824,21172
辽宁省,640,201,54,514,223585.1,1936,1834,,12,90,173736,165855,,1518,6363,8182,5664,2717,2947,10,4,384889,254006,639,605252,404879,5146,60835,6922,10698,298,126221,369,14,846,4508,1641,57282,6714,18103,104,11588,4473,33635,75,22142,82088
吉林省,426,182,28,329,162703.2,1524,1457,7,12,48,145939,135575,4747,3252,2365,16129,3867,1433,2434,,,428185,308090,533,520226,342114,4225,53632,,3996,203,76027,18,4,494,11309,127,30788,5751,7575,113,9339,1970,23325,61,16679,29768
黑龙江省,557,345,52,338,171979.7,1669,1592,6,15,56,166941,157505,3705,3339,2392,4824,3868,979,2889,4,,584079,405467,585,782207,517261,4178,55693,265,2277,66,93265,47,15,831,1651,1001,64415,6877,12777,116,8967,2583,23551,84,15817,49867
上海市,106,2,,107,326082.0,705,675,3,4,23,144789,137770,1780,2071,3168,9429,1388,1301,87,9,2,148147,106515,1160,31221,27510,13920,8169,9,2892,55,2102,3978,6,915,4738,3676,19116,4306,12130,503,1570,4514,15362,166,6996,36068
江苏省,718,40,1,503,524372.1,2565,2437,11,35,82,448804,433781,5472,4008,5543,44683,7416,2413,5003,140,2,120253,77144,721,686085,387222,8521,141025,16275,5202,829,203420,1254,55,3638,14672,19534,274353,38104,58362,746,14195,7322,80052,169,32162,146476
浙江省,619,259,14,483,312812.2,1774,1681,2,36,55,323042,314267,1004,3402,4369,39018,2933,1631,1302,182,,105752,75866,833,542963,374454,9940,36988,1707,9323,175,25840,155,22,3540,14565,10979,341139,25561,43363,764,20394,5004,46672,224,18165,88277
