地区,镇,乡,民族乡,街道,民政事业费累计支出,提供住宿的民政机构,养老机构,精神疾病服务机构,儿童福利和救助机构,其他提供住宿机构,提供住宿的民政机构床位,养老机构床位,精神疾病服务机构床位,儿童福利和救助机构床位,其他提供住宿机构床位,不提供住宿的民政机构,孤儿,集中养育孤儿,社会散居孤儿,收养登记,涉外及港澳台收养登记,城市低保人数,城市低保户数,城市低保平均标准,农村低保人数,农村低保户数,农村低保平均标准,临时救助人次数,传统救济人数,流浪乞讨人员救助人次数,儿童救助人次数,农村特困人员救助供养人数,社会捐赠接收站、点、慈善超市数,社区服务指导中心,社区服务中心,社区服务站,其他社区服务机构和设施,社区养老床位数,社会团体,民办非企业单位,基金会,村委会,社区居委会,结婚登记,涉外及港澳台,离婚登记,火化遗体
安徽省,968,271,9,259,447639.4,1952,1861,3,34,54,266109,254783,315,5987,5024,8216,8205,1933,6272,16,,361572,241492,602,1785459,1047550,6938,29997,20372,4831,70,352317,192,37,1128,3170,2202,165586,14592,17817,174,14498,3473,92226,236,33193,80561
福建省,653,270,19,184,217137.6,614,540,13,11,50,71017,63404,3714,1199,2700,11728,3278,1221,2057,63,1,59779,39095,642,408055,225523,7648,93576,1744,4219,85,61944,14,3,252,3510,804,105648,18519,13071,386,14335,2692,41483,435,16707,55643
江西省,829,569,8,166,274752.1,1707,1631,2,15,59,168192,162043,380,1997,3772,22699,6530,1753,4777,4,3,353581,216761,670,1423497,865722,5135,41186,14218,6658,54,125931,74,41,414,18779,1828,40082,12185,14031,88,17009,3687,71699,170,22213,63872
山东省,1087,68,,669,320490.9,2057,1980,,17,60,335509,327925,,4407,3177,28833,9062,2070,6992,134,4,129804,80441,577,1204267,823226,5142,42261,143,3625,51,247661,433,76,1383,10038,3895,325516,18171,38300,212,69500,7629,77007,108,29907,189284
河南省,1173,618,12,660,414220.2,2711,2573,6,24,108,247006,234114,1615,4051,7226,49150,18114,4208,13906,23,5,429678,290775,569,2762873,1961703,4366,89831,16354,5703,137,491374,175,7,1932,42330,1338,126525,12385,32085,149,45630,6150,113049,367,37181,37534
湖北省,760,162,10,327,538110.6,1846,1710,2,47,87,262254,251248,900,4126,5980,34192,6092,1420,4672,16,,314520,201212,637,1388639,782011,5695,126551,3868,7550,162,240858,205,17,1323,15475,3897,166087,12278,18593,179,22653,4648,49742,99,21800,79342
湖南省,1134,392,83,412,347569.4,2409,2241,10,40,118,210743,195042,5446,4293,5962,18780,18212,2281,15931,41,3,491001,312441,531,1347790,719483,4734,238939,38801,19145,485,363281,1548,33,691,4180,1666,130591,15978,20737,356,23849,5421,87228,246,41130,32997
广东省,1114,11,7,481,547524.0,1911,1770,2,44,95,245476,228493,2045,5666,9272,71714,16808,6684,10124,72,14,155180,83724,834,1247952,502317,7998,33049,1010,14643,258,212268,959,21,1963,25561,31823,254939,31661,38327,1208,19801,6884,126308,1064,36663,127503
广西壮族自治区,806,312,59,132,366081.7,598,485,4,44,65,81273,72689,2467,3677,2440,14324,11433,1817,9616,188,3,314155,141202,672,2600084,875389,4523,57911,133433,7333,371,236183,364,4,258,2151,484,150873,13055,14155,98,14221,2152,65941,313,21926,28627
海南省,175,21,,22,39188.8,29,22,,1,6,6158,5455,,40,663,3223,819,247,572,15,1,36754,18951,563,145653,59586,5237,14758,22,217,15,21450,,,27,2747,305,8286,3172,4653,108,2559,627,8999,29,2895,1513
重庆市,629,172,14,229,245167.1,962,904,6,5,47,105792,98146,2701,2529,2416,14255,3380,888,2492,19,,276909,178332,580,583317,316455,5336,45554,12012,3619,81,97986,918,4,180,8445,2530,72735,7849,9696,83,8009,3194,43884,66,22227,20998
四川省,1926,1065,83,449,485187.4,2754,2432,18,93,211,330114,294616,13725,8234,13539,25763,22147,2651,19496,70,,749069,457906,565,3535274,1964404,4700,108638,28558,13871,1786,434878,206,52,1744,10454,5067,207376,20790,24058,180,43307,7675,126529,208,54659,63579
贵州省,837,315,193,295,314684.3,1042,938,17,26,61,87242,76286,3777,3543,3636,23636,10762,1701,9061,11,1,532464,230090,620,2042059,875830,4457,51117,8645,5509,168,84040,45,11,1469,17559,393,102942,7138,6542,66,13231,4334,85349,73,32504,31347
云南省,679,540,140,188,404423.1,942,837,5,27,73,90106,81895,2250,3292,2669,6154,10227,1455,8772,143,,425625,271616,619,2502717,1292270,4331,253969,20595,5871,156,113765,82,4,404,3306,276,34230,14100,9116,115,11845,2728,86120,548,28169,41052
西藏自治区,142,534,9,21,22806.3,20,8,,9,3,13346,2799,,4505,6042,76,5391,4998,393,13,,25540,14054,851,130397,38131,4449,3471,39,237,43,13453,,,1,,3,1692,479,38,22,5290,239,5412,,865,126
陕西省,975,21,,316,277219.3,789,690,1,18,80,108848,101601,750,3074,3423,10974,5415,2121,3294,19,7,211719,115055,614,872475,360321,4737,164112,1060,5976,163,121356,50,36,566,2796,546,82494,16947,13543,168,16915,2870,38722,50,14322,18611
甘肃省,892,337,32,128,197274.6,302,237,2,16,47,28585,23175,600,2606,2204,14177,8085,1638,6447,6,,385910,172551,547,1372161,459147,4300,203535,3341,1545,41,93461,9,13,728,4877,3221,119492,18028,6491,81,16013,1433,42394,15,8436,5412
青海省,144,222,28,37,69659.6,81,62,2,9,8,7339,5888,260,900,291,1973,2385,769,1616,10,,64093,34378,626,285818,89975,4532,47067,240,2169,35,16243,2,1,25,401,312,14884,4194,1767,32,4144,492,11878,6,2760,1292
宁夏回族自治区,103,90,,47,68443.7,129,106,1,8,14,20898,18223,450,996,1229,2682,755,344,411,,,91854,53345,598,384535,280709,4516,34465,4,976,18,8974,1,2,57,2047,189,8125,3464,2525,73,2259,540,13256,7,2984,676
新疆维吾尔自治区,413,489,42,200,208576.7,471,387,6,42,36,56001,42684,3483,7682,2152,2503,5655,4882,773,3,,289584,158300,468,1644787,780406,4271,329683,156,885,49,18875,69,11,520,1567,266,7026,4910,3968,39,9001,3115,21881,6,9246,5327
