地区,镇,乡,民族乡,街道,民政事业费累计支出,提供住宿的民政机构,养老机构,精神疾病服务机构,儿童福利和救助机构,其他提供住宿机构,提供住宿的民政机构床位,养老机构床位,精神疾病服务机构床位,儿童福利和救助机构床位,其他提供住宿机构床位,不提供住宿的民政机构,孤儿,集中养育孤儿,社会散居孤儿,收养登记,涉外及港澳台收养登记,城市低保人数,城市低保户数,城市低保平均标准,农村低保人数,农村低保户数,农村低保平均标准,临时救助人次数,传统救济人数,流浪乞讨人员救助人次数,儿童救助人次数,农村特困人员救助供养人数,社会捐赠接收站、点、慈善超市数,社区服务指导中心,社区服务中心,社区服务站,其他社区服务机构和设施,社区养老床位数,社会团体,民办非企业单位,基金会,村委会,社区居委会,结婚登记,涉外及港澳台,离婚登记,火化遗体
全国合计,21056,9057,966,8629,18615852.9,38480,35814,141,710,1815,4782282,4501038,66188,96956,118100,564470,210753,62883,147870,3063,65,8333434,5044156,652,35782235,19558531,5676,5019347,324247,366980,15868,4425296,13023,515,29293,248617,100857,3418269,373175,496905,7979,517361,111250,3878704,9123,1594847,2731939
部本级,,,,,,1,,,,1,150,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,1982,99,215,,,,,,
北京市,143,38,5,152,590365.8,589,558,1,12,18,115872,108804,52,2858,4158,12278,1741,1398,343,12,6,67204,40421,1100,38947,23637,13200,5759,,10241,981,5410,1414,17,202,6445,4549,18680,4545,7548,781,3887,3233,46129,168,27873,53346
天津市,126,3,1,119,261444.4,391,377,1,3,10,59671,57391,620,851,809,2950,636,422,214,2,2,75880,49243,980,66964,34473,11760,41248,,1089,9,10326,601,9,322,1713,548,8899,2292,3352,101,3543,1644,37058,71,25296,39278
河北省,1162,782,46,310,773372.5,1628,1569,1,9,49,218695,214435,570,863,2827,36387,6015,1751,4264,51,,189356,123209,695,1603056,1116454,5352,137987,3089,11459,464,261859,15,19,391,4774,484,232964,10570,20704,396,48719,4337,154056,148,78334,103941
山西省,577,612,,207,426762.2,686,605,3,17,61,66283,60196,1000,1351,3736,7987,6405,2547,3858,6,3,271903,152543,591,972771,700121,5298,109148,6173,35893,487,132149,244,10,514,1480,1264,93948,7543,9375,125,23593,2628,90893,30,27254,15822
内蒙古自治区,508,270,17,246,557195.1,754,690,5,10,49,83560,78117,1730,2037,1676,5154,2349,831,1518,19,1,329344,206437,722,1305807,838425,6217,98744,10112,8731,195,83171,71,4,1012,1527,235,133373,8304,8590,143,11060,2517,64575,42,31017,41426
辽宁省,640,201,54,514,446970.8,1994,1891,,12,91,175792,167791,,1518,6483,8213,5559,2671,2888,12,4,372707,246922,644,665156,436575,5221,99739,6840,17624,577,126755,374,14,846,4510,1660,58244,6690,18500,104,11582,4483,99075,140,58087,165995
吉林省,426,182,28,335,327806.7,1542,1475,7,12,48,145157,134793,4747,3252,2365,16577,3786,1432,2354,,,417593,301521,546,534823,348785,4376,91372,,8778,335,76096,18,4,921,11310,128,30682,5826,7656,114,9339,1971,59613,106,40216,63124
黑龙江省,557,345,52,344,348722.1,1676,1598,6,15,57,168114,158626,3705,3339,2444,4773,3377,940,2437,7,,578537,400502,585,810477,533372,4227,106490,47,3688,311,93051,145,15,827,1652,1008,64393,6912,12875,116,8967,2592,63379,137,42211,104639
上海市,106,2,,107,646880.1,704,675,3,4,22,143932,137754,1780,1230,3168,9468,1366,1277,89,21,2,149687,107353,1170,31298,27555,14040,14325,9,4528,119,2078,3035,6,914,4738,3715,19254,4231,12169,468,1570,4467,41473,328,21657,67031
江苏省,718,40,1,504,1054943.8,2580,2451,11,35,83,446475,431672,5472,4008,5323,44465,7226,2407,4819,340,2,117871,75708,729,680947,384290,8606,279642,15782,10529,1185,202440,1272,55,3639,14700,19322,274766,38302,58420,752,14193,7343,227685,327,98141,270225
浙江省,619,259,14,483,664420.2,1792,1695,2,40,55,324414,315484,1004,3552,4374,39129,2896,1596,1300,396,1,62297,48212,837,570618,393027,10050,55369,1699,21238,669,27694,154,21,3548,14600,10900,339769,25578,43584,776,20392,4987,131462,344,49495,162923
安徽省,968,271,9,262,967120.5,2048,1957,3,34,54,281575,270249,315,5987,5024,8179,7053,1902,5151,56,,362685,242142,607,1812441,1062673,7055,49073,19273,12800,215,352004,187,38,1130,3191,2209,155577,14766,18200,176,14441,3507,236497,340,90957,151022
福建省,653,270,19,185,429329.5,627,553,13,11,50,73539,65954,3714,1199,2672,12601,3300,1213,2087,86,1,59836,39189,657,419060,231354,7849,159100,1694,7283,169,61974,17,3,259,3633,996,112409,18577,13477,399,14328,2711,99645,563,40788,106258
江西省,829,568,8,168,627982.4,1859,1783,3,13,60,165113,160467,889,1424,2333,29462,5430,1356,4074,15,3,348018,214725,686,1455403,888738,5383,100108,963,11091,250,128512,52,10,1241,19278,867,41989,12334,14283,88,16936,3734,147955,386,51170,118143
山东省,1087,68,,668,687997.8,2159,2081,,17,61,345526,338071,,4348,3107,28730,8853,2092,6761,326,4,127205,79208,601,1289093,860981,5372,63032,141,8555,124,293235,458,76,1440,10058,3866,312053,18334,39276,221,67954,7773,221477,192,88022,346339
河南省,1181,610,12,660,892435.0,2935,2796,3,28,108,266578,254271,888,4075,7344,51547,18363,4524,13839,67,6,420658,285169,577,2836572,2015056,4456,151449,14591,13139,263,492350,158,7,2000,42930,1287,117167,12493,32995,155,45468,6437,300198,659,112564,72711
湖北省,761,161,10,328,999030.6,1867,1732,2,48,85,270600,260200,900,4031,5469,35775,5970,1403,4567,124,1,310284,198836,662,1404168,789804,5920,220791,2832,12682,266,240194,170,19,1501,16759,4000,179118,12269,18688,181,22643,4655,144938,177,68713,136787
湖南省,1133,392,83,415,710601.7,2485,2318,11,38,118,228482,212765,5756,4025,5936,22189,17028,2225,14803,102,3,471083,301109,538,1437501,766784,4807,372525,38388,42749,1023,362019,1547,31,677,4073,1655,145043,16002,20791,361,23847,5433,188631,349,88420,59966
广东省,1114,11,7,483,1200854.4,1950,1806,2,47,95,248855,231974,2045,5730,9106,69278,16716,6719,9997,215,14,155954,83958,872,1258437,505894,8300,71461,1009,25245,475,211690,960,20,1997,25656,28932,254398,31805,38561,1233,19801,6888,296939,1771,93968,244046
广西壮族自治区,806,312,59,132,876765.8,643,527,4,47,65,92533,83903,2467,3775,2388,14476,11011,1741,9270,447,3,343922,149661,739,2750582,918625,5196,108853,134800,14747,1300,236483,364,4,258,2153,502,163652,13116,14434,100,14222,2153,147407,1207,52086,52325
海南省,175,21,,22,83703.0,28,21,,1,6,5558,4855,,40,663,3206,815,240,575,31,1,38367,19807,563,145360,59218,5237,21446,22,319,27,21305,,,27,2752,269,7722,3204,4729,116,2559,632,26766,47,7935,2662
重庆市,627,171,14,231,489349.1,977,921,5,5,46,106997,99462,2612,2529,2394,14308,3450,896,2554,45,,275700,177772,580,604550,327510,5378,89113,12125,7455,287,98223,981,4,180,8497,2544,72753,7916,9749,84,8008,3201,107606,114,57706,38407
四川省,1956,924,83,454,1049660.1,2728,2411,18,93,206,327337,292328,13716,8125,13168,25035,21904,2604,19300,196,,734501,455230,565,3745603,2070766,4700,203842,19319,28291,4052,431535,218,52,1736,9579,4887,206794,20834,24294,181,31619,7984,277363,354,121336,117309
贵州省,833,315,193,360,751291.8,1043,939,17,28,59,87244,76597,3777,3653,3217,23598,10978,1715,9263,25,1,594677,242162,641,1994972,834111,4606,179093,8465,10009,396,86650,89,11,1399,17607,251,102617,7138,6584,66,13235,4435,166851,110,63857,59341
云南省,678,540,140,191,869258.8,982,876,6,27,73,96564,88103,2500,3292,2669,6118,10428,1606,8822,359,,420564,268265,642,2539566,1319799,4570,502106,21988,10538,315,114248,82,4,404,3307,276,31170,14083,9312,110,11835,2779,172963,681,56697,73939
西藏自治区,142,534,9,21,56340.7,34,23,,9,2,15393,4766,,4505,6122,69,5869,5332,537,13,,25247,13896,871,127865,37831,4545,9372,40,374,54,13258,,,1,,3,4714,511,44,22,5292,243,17854,161,2930,363
陕西省,979,17,,316,585695.0,799,700,1,18,80,109898,102651,750,3074,3423,11086,5348,2115,3233,50,7,207339,113380,613,1091322,460528,4733,347781,1105,16239,736,124816,182,36,566,2804,522,82904,17148,13727,169,16923,2895,104195,115,39848,34660
甘肃省,892,337,32,128,479023.7,297,234,2,16,45,28446,23257,600,2673,1916,14237,7980,1628,6352,17,,371638,166666,575,1366456,459063,4498,515829,3341,3827,167,92591,9,13,732,4874,3174,123540,17336,6610,81,16017,1436,89448,31,19496,11173
青海省,144,222,28,37,183328.1,85,65,2,10,8,7499,5994,260,954,291,1999,2790,1213,1577,14,,63856,34039,633,298051,94727,4609,173969,249,4981,324,15977,2,1,25,399,348,14396,4169,1812,32,4144,488,26469,10,6222,2551
宁夏回族自治区,103,90,,47,153746.3,129,105,1,9,14,20898,18187,450,1032,1229,2691,795,361,434,,,89264,52300,598,390413,281647,4589,58963,2,1547,38,8965,1,2,62,2051,189,8195,3445,2517,74,2259,540,25711,8,6820,1660
新疆维吾尔自治区,413,489,42,200,423454.9,468,382,8,42,36,55532,41921,3869,7626,2116,2504,5316,4726,590,9,,280257,154571,491,1533956,736708,4483,581618,149,1311,55,18238,203,10,522,1567,267,7086,4920,3950,39,8985,3124,64393,7,25731,14527
