日期,年,月,日,周序号,周内序号,周内名称,工作标记,假日标记,工作标记-补充,是否法定假日
20200101,2020,1,1,1,2,星期三,上班,-,-,-
20200102,2020,1,2,1,3,星期四,上班,-,-,-
20200103,2020,1,3,1,4,星期五,上班,-,-,-
20200104,2020,1,4,1,5,星期六,休息,-,-,-
20200105,2020,1,5,1,6,星期日,休息,-,-,-
20200106,2020,1,6,2,0,星期一,上班,-,-,-
20200107,2020,1,7,2,1,星期二,上班,-,-,-
20200108,2020,1,8,2,2,星期三,上班,-,-,-
20200109,2020,1,9,2,3,星期四,上班,-,-,-
20200110,2020,1,10,2,4,星期五,上班,-,-,-
20200111,2020,1,11,2,5,星期六,休息,-,-,-
20200112,2020,1,12,2,6,星期日,休息,-,-,-
20200113,2020,1,13,3,0,星期一,上班,-,-,-
20200114,2020,1,14,3,1,星期二,上班,-,-,-
20200115,2020,1,15,3,2,星期三,上班,-,-,-
20200116,2020,1,16,3,3,星期四,上班,-,-,-
20200117,2020,1,17,3,4,星期五,上班,-,-,-
20200118,2020,1,18,3,5,星期六,休息,-,-,-
20200119,2020,1,19,3,6,星期日,补班,—,补班,否
20200120,2020,1,20,4,0,星期一,上班,-,-,-
20200121,2020,1,21,4,1,星期二,上班,-,-,-
20200122,2020,1,22,4,2,星期三,上班,-,-,-
20200123,2020,1,23,4,3,星期四,上班,-,-,-
20200124,2020,1,24,4,4,星期五,休息,除夕,休息,是
20200125,2020,1,25,4,5,星期六,休息,春节,休息,是
20200126,2020,1,26,4,6,星期日,休息,春节,休息,是
20200127,2020,1,27,5,0,星期一,休息,春节,休息,否
20200128,2020,1,28,5,1,星期二,休息,春节,休息,否
20200129,2020,1,29,5,2,星期三,休息,春节,休息,否
20200130,2020,1,30,5,3,星期四,休息,春节,休息,否
20200131,2020,1,31,5,4,星期五,休息,春节,休息,否
20200201,2020,2,1,5,5,星期六,休息,春节,休息,否
20200202,2020,2,2,5,6,星期日,休息,春节,休息,否
20200203,2020,2,3,6,0,星期一,上班,-,-,-
20200204,2020,2,4,6,1,星期二,上班,-,-,-
20200205,2020,2,5,6,2,星期三,上班,-,-,-
20200206,2020,2,6,6,3,星期四,上班,-,-,-
20200207,2020,2,7,6,4,星期五,上班,-,-,-
20200208,2020,2,8,6,5,星期六,休息,-,-,-
20200209,2020,2,9,6,6,星期日,休息,-,-,-
20200210,2020,2,10,7,0,星期一,上班,-,-,-
20200211,2020,2,11,7,1,星期二,上班,-,-,-
20200212,2020,2,12,7,2,星期三,上班,-,-,-
20200213,2020,2,13,7,3,星期四,上班,-,-,-
20200214,2020,2,14,7,4,星期五,上班,-,-,-
20200215,2020,2,15,7,5,星期六,休息,-,-,-
20200216,2020,2,16,7,6,星期日,休息,-,-,-
20200217,2020,2,17,8,0,星期一,上班,-,-,-
20200218,2020,2,18,8,1,星期二,上班,-,-,-
20200219,2020,2,19,8,2,星期三,上班,-,-,-
20200220,2020,2,20,8,3,星期四,上班,-,-,-
20200221,2020,2,21,8,4,星期五,上班,-,-,-
20200222,2020,2,22,8,5,星期六,休息,-,-,-
20200223,2020,2,23,8,6,星期日,休息,-,-,-
20200224,2020,2,24,9,0,星期一,上班,-,-,-
20200225,2020,2,25,9,1,星期二,上班,-,-,-
20200226,2020,2,26,9,2,星期三,上班,-,-,-
20200227,2020,2,27,9,3,星期四,上班,-,-,-
20200228,2020,2,28,9,4,星期五,上班,-,-,-
20200229,2020,2,29,9,5,星期六,休息,-,-,-
20200301,2020,3,1,9,6,星期日,休息,-,-,-
20200302,2020,3,2,10,0,星期一,上班,-,-,-
20200303,2020,3,3,10,1,星期二,上班,-,-,-
20200304,2020,3,4,10,2,星期三,上班,-,-,-
20200305,2020,3,5,10,3,星期四,上班,-,-,-
20200306,2020,3,6,10,4,星期五,上班,-,-,-
20200307,2020,3,7,10,5,星期六,休息,-,-,-
20200308,2020,3,8,10,6,星期日,休息,-,-,-
20200309,2020,3,9,11,0,星期一,上班,-,-,-
20200310,2020,3,10,11,1,星期二,上班,-,-,-
20200311,2020,3,11,11,2,星期三,上班,-,-,-
20200312,2020,3,12,11,3,星期四,上班,-,-,-
20200313,2020,3,13,11,4,星期五,上班,-,-,-
20200314,2020,3,14,11,5,星期六,休息,-,-,-
20200315,2020,3,15,11,6,星期日,休息,-,-,-
20200316,2020,3,16,12,0,星期一,上班,-,-,-
20200317,2020,3,17,12,1,星期二,上班,-,-,-
20200318,2020,3,18,12,2,星期三,上班,-,-,-
20200319,2020,3,19,12,3,星期四,上班,-,-,-
20200320,2020,3,20,12,4,星期五,上班,-,-,-
20200321,2020,3,21,12,5,星期六,休息,-,-,-
20200322,2020,3,22,12,6,星期日,休息,-,-,-
20200323,2020,3,23,13,0,星期一,上班,-,-,-
20200324,2020,3,24,13,1,星期二,上班,-,-,-
20200325,2020,3,25,13,2,星期三,上班,-,-,-
20200326,2020,3,26,13,3,星期四,上班,-,-,-
20200327,2020,3,27,13,4,星期五,上班,-,-,-
20200328,2020,3,28,13,5,星期六,休息,-,-,-
20200329,2020,3,29,13,6,星期日,休息,-,-,-
20200330,2020,3,30,14,0,星期一,上班,-,-,-
20200331,2020,3,31,14,1,星期二,上班,-,-,-
20200401,2020,4,1,14,2,星期三,上班,-,-,-
20200402,2020,4,2,14,3,星期四,上班,-,-,-
20200403,2020,4,3,14,4,星期五,上班,-,-,-
20200404,2020,4,4,14,5,星期六,休息,清明节,休息,是
20200405,2020,4,5,14,6,星期日,休息,清明节,休息,否
20200406,2020,4,6,15,0,星期一,休息,清明节,休息,否
20200407,2020,4,7,15,1,星期二,上班,-,-,-
20200408,2020,4,8,15,2,星期三,上班,-,-,-
20200409,2020,4,9,15,3,星期四,上班,-,-,-
20200410,2020,4,10,15,4,星期五,上班,-,-,-
20200411,2020,4,11,15,5,星期六,休息,-,-,-
20200412,2020,4,12,15,6,星期日,休息,-,-,-
20200413,2020,4,13,16,0,星期一,上班,-,-,-
20200414,2020,4,14,16,1,星期二,上班,-,-,-
20200415,2020,4,15,16,2,星期三,上班,-,-,-
20200416,2020,4,16,16,3,星期四,上班,-,-,-
20200417,2020,4,17,16,4,星期五,上班,-,-,-
20200418,2020,4,18,16,5,星期六,休息,-,-,-
20200419,2020,4,19,16,6,星期日,休息,-,-,-
20200420,2020,4,20,17,0,星期一,上班,-,-,-
20200421,2020,4,21,17,1,星期二,上班,-,-,-
20200422,2020,4,22,17,2,星期三,上班,-,-,-
20200423,2020,4,23,17,3,星期四,上班,-,-,-
20200424,2020,4,24,17,4,星期五,上班,-,-,-
20200425,2020,4,25,17,5,星期六,休息,-,-,-
20200426,2020,4,26,17,6,星期日,补班,—,补班,否
20200427,2020,4,27,18,0,星期一,上班,-,-,-
20200428,2020,4,28,18,1,星期二,上班,-,-,-
20200429,2020,4,29,18,2,星期三,上班,-,-,-
20200430,2020,4,30,18,3,星期四,上班,-,-,-
20200501,2020,5,1,18,4,星期五,休息,劳动节,休息,是
20200502,2020,5,2,18,5,星期六,休息,劳动节,休息,否
20200503,2020,5,3,18,6,星期日,休息,劳动节,休息,否
20200504,2020,5,4,19,0,星期一,休息,劳动节,休息,否
20200505,2020,5,5,19,1,星期二,休息,劳动节,休息,否
20200506,2020,5,6,19,2,星期三,上班,-,-,-
20200507,2020,5,7,19,3,星期四,上班,-,-,-
