日期,年,月,日,周序号,周内序号,周内名称,工作标记,假日标记,工作标记-补充,是否法定假日
20200508,2020,5,8,19,4,星期五,上班,-,-,-
20200509,2020,5,9,19,5,星期六,补班,—,补班,否
20200510,2020,5,10,19,6,星期日,休息,-,-,-
20200511,2020,5,11,20,0,星期一,上班,-,-,-
20200512,2020,5,12,20,1,星期二,上班,-,-,-
20200513,2020,5,13,20,2,星期三,上班,-,-,-
20200514,2020,5,14,20,3,星期四,上班,-,-,-
20200515,2020,5,15,20,4,星期五,上班,-,-,-
20200516,2020,5,16,20,5,星期六,休息,-,-,-
20200517,2020,5,17,20,6,星期日,休息,-,-,-
20200518,2020,5,18,21,0,星期一,上班,-,-,-
20200519,2020,5,19,21,1,星期二,上班,-,-,-
20200520,2020,5,20,21,2,星期三,上班,-,-,-
20200521,2020,5,21,21,3,星期四,上班,-,-,-
20200522,2020,5,22,21,4,星期五,上班,-,-,-
20200523,2020,5,23,21,5,星期六,休息,-,-,-
20200524,2020,5,24,21,6,星期日,休息,-,-,-
20200525,2020,5,25,22,0,星期一,上班,-,-,-
20200526,2020,5,26,22,1,星期二,上班,-,-,-
20200527,2020,5,27,22,2,星期三,上班,-,-,-
20200528,2020,5,28,22,3,星期四,上班,-,-,-
20200529,2020,5,29,22,4,星期五,上班,-,-,-
20200530,2020,5,30,22,5,星期六,休息,-,-,-
20200531,2020,5,31,22,6,星期日,休息,-,-,-
20200601,2020,6,1,23,0,星期一,上班,-,-,-
20200602,2020,6,2,23,1,星期二,上班,-,-,-
20200603,2020,6,3,23,2,星期三,上班,-,-,-
20200604,2020,6,4,23,3,星期四,上班,-,-,-
20200605,2020,6,5,23,4,星期五,上班,-,-,-
20200606,2020,6,6,23,5,星期六,休息,-,-,-
20200607,2020,6,7,23,6,星期日,休息,-,-,-
20200608,2020,6,8,24,0,星期一,上班,-,-,-
20200609,2020,6,9,24,1,星期二,上班,-,-,-
20200610,2020,6,10,24,2,星期三,上班,-,-,-
20200611,2020,6,11,24,3,星期四,上班,-,-,-
20200612,2020,6,12,24,4,星期五,上班,-,-,-
20200613,2020,6,13,24,5,星期六,休息,-,-,-
20200614,2020,6,14,24,6,星期日,休息,-,-,-
20200615,2020,6,15,25,0,星期一,上班,-,-,-
20200616,2020,6,16,25,1,星期二,上班,-,-,-
20200617,2020,6,17,25,2,星期三,上班,-,-,-
20200618,2020,6,18,25,3,星期四,上班,-,-,-
20200619,2020,6,19,25,4,星期五,上班,-,-,-
20200620,2020,6,20,25,5,星期六,休息,-,-,-
20200621,2020,6,21,25,6,星期日,休息,-,-,-
20200622,2020,6,22,26,0,星期一,上班,-,-,-
20200623,2020,6,23,26,1,星期二,上班,-,-,-
20200624,2020,6,24,26,2,星期三,上班,-,-,-
20200625,2020,6,25,26,3,星期四,休息,端午节,休息,是
20200626,2020,6,26,26,4,星期五,休息,端午节,休息,否
20200627,2020,6,27,26,5,星期六,休息,端午节,休息,否
20200628,2020,6,28,26,6,星期日,补班,—,补班,否
20200629,2020,6,29,27,0,星期一,上班,-,-,-
20200630,2020,6,30,27,1,星期二,上班,-,-,-
20200701,2020,7,1,27,2,星期三,上班,-,-,-
20200702,2020,7,2,27,3,星期四,上班,-,-,-
20200703,2020,7,3,27,4,星期五,上班,-,-,-
20200704,2020,7,4,27,5,星期六,休息,-,-,-
20200705,2020,7,5,27,6,星期日,休息,-,-,-
20200706,2020,7,6,28,0,星期一,上班,-,-,-
20200707,2020,7,7,28,1,星期二,上班,-,-,-
20200708,2020,7,8,28,2,星期三,上班,-,-,-
20200709,2020,7,9,28,3,星期四,上班,-,-,-
20200710,2020,7,10,28,4,星期五,上班,-,-,-
20200711,2020,7,11,28,5,星期六,休息,-,-,-
20200712,2020,7,12,28,6,星期日,休息,-,-,-
20200713,2020,7,13,29,0,星期一,上班,-,-,-
20200714,2020,7,14,29,1,星期二,上班,-,-,-
20200715,2020,7,15,29,2,星期三,上班,-,-,-
20200716,2020,7,16,29,3,星期四,上班,-,-,-
20200717,2020,7,17,29,4,星期五,上班,-,-,-
20200718,2020,7,18,29,5,星期六,休息,-,-,-
20200719,2020,7,19,29,6,星期日,休息,-,-,-
20200720,2020,7,20,30,0,星期一,上班,-,-,-
20200721,2020,7,21,30,1,星期二,上班,-,-,-
20200722,2020,7,22,30,2,星期三,上班,-,-,-
20200723,2020,7,23,30,3,星期四,上班,-,-,-
20200724,2020,7,24,30,4,星期五,上班,-,-,-
20200725,2020,7,25,30,5,星期六,休息,-,-,-
20200726,2020,7,26,30,6,星期日,休息,-,-,-
20200727,2020,7,27,31,0,星期一,上班,-,-,-
20200728,2020,7,28,31,1,星期二,上班,-,-,-
20200729,2020,7,29,31,2,星期三,上班,-,-,-
20200730,2020,7,30,31,3,星期四,上班,-,-,-
20200731,2020,7,31,31,4,星期五,上班,-,-,-
20200801,2020,8,1,31,5,星期六,休息,-,-,-
20200802,2020,8,2,31,6,星期日,休息,-,-,-
20200803,2020,8,3,32,0,星期一,上班,-,-,-
20200804,2020,8,4,32,1,星期二,上班,-,-,-
20200805,2020,8,5,32,2,星期三,上班,-,-,-
20200806,2020,8,6,32,3,星期四,上班,-,-,-
20200807,2020,8,7,32,4,星期五,上班,-,-,-
20200808,2020,8,8,32,5,星期六,休息,-,-,-
20200809,2020,8,9,32,6,星期日,休息,-,-,-
20200810,2020,8,10,33,0,星期一,上班,-,-,-
20200811,2020,8,11,33,1,星期二,上班,-,-,-
20200812,2020,8,12,33,2,星期三,上班,-,-,-
20200813,2020,8,13,33,3,星期四,上班,-,-,-
20200814,2020,8,14,33,4,星期五,上班,-,-,-
20200815,2020,8,15,33,5,星期六,休息,-,-,-
20200816,2020,8,16,33,6,星期日,休息,-,-,-
20200817,2020,8,17,34,0,星期一,上班,-,-,-
20200818,2020,8,18,34,1,星期二,上班,-,-,-
20200819,2020,8,19,34,2,星期三,上班,-,-,-
20200820,2020,8,20,34,3,星期四,上班,-,-,-
20200821,2020,8,21,34,4,星期五,上班,-,-,-
20200822,2020,8,22,34,5,星期六,休息,-,-,-
20200823,2020,8,23,34,6,星期日,休息,-,-,-
20200824,2020,8,24,35,0,星期一,上班,-,-,-
20200825,2020,8,25,35,1,星期二,上班,-,-,-
20200826,2020,8,26,35,2,星期三,上班,-,-,-
20200827,2020,8,27,35,3,星期四,上班,-,-,-
20200828,2020,8,28,35,4,星期五,上班,-,-,-
20200829,2020,8,29,35,5,星期六,休息,-,-,-
20200830,2020,8,30,35,6,星期日,休息,-,-,-
20200831,2020,8,31,36,0,星期一,上班,-,-,-
20200901,2020,9,1,36,1,星期二,上班,-,-,-
20200902,2020,9,2,36,2,星期三,上班,-,-,-
20200903,2020,9,3,36,3,星期四,上班,-,-,-
20200904,2020,9,4,36,4,星期五,上班,-,-,-
20200905,2020,9,5,36,5,星期六,休息,-,-,-
20200906,2020,9,6,36,6,星期日,休息,-,-,-
20200907,2020,9,7,37,0,星期一,上班,-,-,-
20200908,2020,9,8,37,1,星期二,上班,-,-,-
20200909,2020,9,9,37,2,星期三,上班,-,-,-
20200910,2020,9,10,37,3,星期四,上班,-,-,-
20200911,2020,9,11,37,4,星期五,上班,-,-,-
20200912,2020,9,12,37,5,星期六,休息,-,-,-
20200913,2020,9,13,37,6,星期日,休息,-,-,-
20200914,2020,9,14,38,0,星期一,上班,-,-,-
20200915,2020,9,15,38,1,星期二,上班,-,-,-
20200916,2020,9,16,38,2,星期三,上班,-,-,-
20200917,2020,9,17,38,3,星期四,上班,-,-,-
20200918,2020,9,18,38,4,星期五,上班,-,-,-
20200919,2020,9,19,38,5,星期六,休息,-,-,-
20200920,2020,9,20,38,6,星期日,休息,-,-,-
20200921,2020,9,21,39,0,星期一,上班,-,-,-
20200922,2020,9,22,39,1,星期二,上班,-,-,-
20200923,2020,9,23,39,2,星期三,上班,-,-,-
20200924,2020,9,24,39,3,星期四,上班,-,-,-
20200925,2020,9,25,39,4,星期五,上班,-,-,-
20200926,2020,9,26,39,5,星期六,休息,-,-,-
20200927,2020,9,27,39,6,星期日,补班,—,补班,否
20200928,2020,9,28,40,0,星期一,上班,-,-,-
20200929,2020,9,29,40,1,星期二,上班,-,-,-
20200930,2020,9,30,40,2,星期三,上班,-,-,-
20201001,2020,10,1,40,3,星期四,休息,国庆节、中秋节,休息,是
20201002,2020,10,2,40,4,星期五,休息,国庆节,休息,是
20201003,2020,10,3,40,5,星期六,休息,国庆节,休息,是
20201004,2020,10,4,40,6,星期日,休息,国庆节,休息,否
20201005,2020,10,5,41,0,星期一,休息,国庆节,休息,否
20201006,2020,10,6,41,1,星期二,休息,国庆节,休息,否
20201007,2020,10,7,41,2,星期三,休息,国庆节,休息,否
20201008,2020,10,8,41,3,星期四,休息,国庆节,休息,否
20201009,2020,10,9,41,4,星期五,上班,-,-,-
20201010,2020,10,10,41,5,星期六,补班,—,补班,否
20201011,2020,10,11,41,6,星期日,休息,-,-,-
20201012,2020,10,12,42,0,星期一,上班,-,-,-
20201013,2020,10,13,42,1,星期二,上班,-,-,-
20201014,2020,10,14,42,2,星期三,上班,-,-,-
20201015,2020,10,15,42,3,星期四,上班,-,-,-
20201016,2020,10,16,42,4,星期五,上班,-,-,-
20201017,2020,10,17,42,5,星期六,休息,-,-,-
20201018,2020,10,18,42,6,星期日,休息,-,-,-
20201019,2020,10,19,43,0,星期一,上班,-,-,-
20201020,2020,10,20,43,1,星期二,上班,-,-,-
20201021,2020,10,21,43,2,星期三,上班,-,-,-
20201022,2020,10,22,43,3,星期四,上班,-,-,-
20201023,2020,10,23,43,4,星期五,上班,-,-,-
20201024,2020,10,24,43,5,星期六,休息,-,-,-
20201025,2020,10,25,43,6,星期日,休息,-,-,-
20201026,2020,10,26,44,0,星期一,上班,-,-,-
20201027,2020,10,27,44,1,星期二,上班,-,-,-
20201028,2020,10,28,44,2,星期三,上班,-,-,-
20201029,2020,10,29,44,3,星期四,上班,-,-,-
20201030,2020,10,30,44,4,星期五,上班,-,-,-
20201031,2020,10,31,44,5,星期六,休息,-,-,-
20201101,2020,11,1,44,6,星期日,休息,-,-,-
20201102,2020,11,2,45,0,星期一,上班,-,-,-
20201103,2020,11,3,45,1,星期二,上班,-,-,-
20201104,2020,11,4,45,2,星期三,上班,-,-,-
20201105,2020,11,5,45,3,星期四,上班,-,-,-
20201106,2020,11,6,45,4,星期五,上班,-,-,-
20201107,2020,11,7,45,5,星期六,休息,-,-,-
20201108,2020,11,8,45,6,星期日,休息,-,-,-
20201109,2020,11,9,46,0,星期一,上班,-,-,-
20201110,2020,11,10,46,1,星期二,上班,-,-,-
20201111,2020,11,11,46,2,星期三,上班,-,-,-
20201112,2020,11,12,46,3,星期四,上班,-,-,-
20201113,2020,11,13,46,4,星期五,上班,-,-,-
20201114,2020,11,14,46,5,星期六,休息,-,-,-
20201115,2020,11,15,46,6,星期日,休息,-,-,-
20201116,2020,11,16,47,0,星期一,上班,-,-,-
20201117,2020,11,17,47,1,星期二,上班,-,-,-
20201118,2020,11,18,47,2,星期三,上班,-,-,-
20201119,2020,11,19,47,3,星期四,上班,-,-,-
20201120,2020,11,20,47,4,星期五,上班,-,-,-
20201121,2020,11,21,47,5,星期六,休息,-,-,-
20201122,2020,11,22,47,6,星期日,休息,-,-,-
20201123,2020,11,23,48,0,星期一,上班,-,-,-
20201124,2020,11,24,48,1,星期二,上班,-,-,-
20201125,2020,11,25,48,2,星期三,上班,-,-,-
20201126,2020,11,26,48,3,星期四,上班,-,-,-
20201127,2020,11,27,48,4,星期五,上班,-,-,-
20201128,2020,11,28,48,5,星期六,休息,-,-,-
20201129,2020,11,29,48,6,星期日,休息,-,-,-
20201130,2020,11,30,49,0,星期一,上班,-,-,-
20201201,2020,12,1,49,1,星期二,上班,-,-,-
20201202,2020,12,2,49,2,星期三,上班,-,-,-
20201203,2020,12,3,49,3,星期四,上班,-,-,-
20201204,2020,12,4,49,4,星期五,上班,-,-,-
20201205,2020,12,5,49,5,星期六,休息,-,-,-
20201206,2020,12,6,49,6,星期日,休息,-,-,-
20201207,2020,12,7,50,0,星期一,上班,-,-,-
20201208,2020,12,8,50,1,星期二,上班,-,-,-
20201209,2020,12,9,50,2,星期三,上班,-,-,-
20201210,2020,12,10,50,3,星期四,上班,-,-,-
20201211,2020,12,11,50,4,星期五,上班,-,-,-
20201212,2020,12,12,50,5,星期六,休息,-,-,-
20201213,2020,12,13,50,6,星期日,休息,-,-,-
20201214,2020,12,14,51,0,星期一,上班,-,-,-
20201215,2020,12,15,51,1,星期二,上班,-,-,-
20201216,2020,12,16,51,2,星期三,上班,-,-,-
20201217,2020,12,17,51,3,星期四,上班,-,-,-
20201218,2020,12,18,51,4,星期五,上班,-,-,-
20201219,2020,12,19,51,5,星期六,休息,-,-,-
20201220,2020,12,20,51,6,星期日,休息,-,-,-
20201221,2020,12,21,52,0,星期一,上班,-,-,-
20201222,2020,12,22,52,1,星期二,上班,-,-,-
20201223,2020,12,23,52,2,星期三,上班,-,-,-
20201224,2020,12,24,52,3,星期四,上班,-,-,-
20201225,2020,12,25,52,4,星期五,上班,-,-,-
20201226,2020,12,26,52,5,星期六,休息,-,-,-
20201227,2020,12,27,52,6,星期日,休息,-,-,-
20201228,2020,12,28,53,0,星期一,上班,-,-,-
20201229,2020,12,29,53,1,星期二,上班,-,-,-
20201230,2020,12,30,53,2,星期三,上班,-,-,-
20201231,2020,12,31,53,3,星期四,上班,-,-,-
