日期,年,月,日,周序号,周内序号,周内名称,工作标记,假日标记,工作标记-补充,是否法定假日
20180101,2018,1,1,1,0,星期一,休息,元旦节,休息,是
20180102,2018,1,2,1,1,星期二,上班,-,-,-
20180103,2018,1,3,1,2,星期三,上班,-,-,-
20180104,2018,1,4,1,3,星期四,上班,-,-,-
20180105,2018,1,5,1,4,星期五,上班,-,-,-
20180106,2018,1,6,1,5,星期六,休息,-,-,-
20180107,2018,1,7,1,6,星期日,休息,-,-,-
20180108,2018,1,8,2,0,星期一,上班,-,-,-
20180109,2018,1,9,2,1,星期二,上班,-,-,-
20180110,2018,1,10,2,2,星期三,上班,-,-,-
20180111,2018,1,11,2,3,星期四,上班,-,-,-
20180112,2018,1,12,2,4,星期五,上班,-,-,-
20180113,2018,1,13,2,5,星期六,休息,-,-,-
20180114,2018,1,14,2,6,星期日,休息,-,-,-
20180115,2018,1,15,3,0,星期一,上班,-,-,-
20180116,2018,1,16,3,1,星期二,上班,-,-,-
20180117,2018,1,17,3,2,星期三,上班,-,-,-
20180118,2018,1,18,3,3,星期四,上班,-,-,-
20180119,2018,1,19,3,4,星期五,上班,-,-,-
20180120,2018,1,20,3,5,星期六,休息,-,-,-
20180121,2018,1,21,3,6,星期日,休息,-,-,-
20180122,2018,1,22,4,0,星期一,上班,-,-,-
20180123,2018,1,23,4,1,星期二,上班,-,-,-
20180124,2018,1,24,4,2,星期三,上班,-,-,-
20180125,2018,1,25,4,3,星期四,上班,-,-,-
20180126,2018,1,26,4,4,星期五,上班,-,-,-
20180127,2018,1,27,4,5,星期六,休息,-,-,-
20180128,2018,1,28,4,6,星期日,休息,-,-,-
20180129,2018,1,29,5,0,星期一,上班,-,-,-
20180130,2018,1,30,5,1,星期二,上班,-,-,-
20180131,2018,1,31,5,2,星期三,上班,-,-,-
20180201,2018,2,1,5,3,星期四,上班,-,-,-
20180202,2018,2,2,5,4,星期五,上班,-,-,-
20180203,2018,2,3,5,5,星期六,休息,-,-,-
20180204,2018,2,4,5,6,星期日,休息,-,-,-
20180205,2018,2,5,6,0,星期一,上班,-,-,-
20180206,2018,2,6,6,1,星期二,上班,-,-,-
20180207,2018,2,7,6,2,星期三,上班,-,-,-
20180208,2018,2,8,6,3,星期四,上班,-,-,-
20180209,2018,2,9,6,4,星期五,上班,-,-,-
20180210,2018,2,10,6,5,星期六,休息,-,-,-
20180211,2018,2,11,6,6,星期日,补班,—,补班,否
20180212,2018,2,12,7,0,星期一,上班,-,-,-
20180213,2018,2,13,7,1,星期二,上班,-,-,-
20180214,2018,2,14,7,2,星期三,上班,-,-,-
20180215,2018,2,15,7,3,星期四,休息,除夕,休息,是
20180216,2018,2,16,7,4,星期五,休息,春节,休息,是
20180217,2018,2,17,7,5,星期六,休息,春节,休息,是
20180218,2018,2,18,7,6,星期日,休息,春节,休息,否
20180219,2018,2,19,8,0,星期一,休息,春节,休息,否
20180220,2018,2,20,8,1,星期二,休息,春节,休息,否
20180221,2018,2,21,8,2,星期三,休息,春节,休息,否
20180222,2018,2,22,8,3,星期四,上班,-,-,-
20180223,2018,2,23,8,4,星期五,上班,-,-,-
20180224,2018,2,24,8,5,星期六,补班,—,补班,否
20180225,2018,2,25,8,6,星期日,休息,-,-,-
20180226,2018,2,26,9,0,星期一,上班,-,-,-
20180227,2018,2,27,9,1,星期二,上班,-,-,-
20180228,2018,2,28,9,2,星期三,上班,-,-,-
20180301,2018,3,1,9,3,星期四,上班,-,-,-
20180302,2018,3,2,9,4,星期五,上班,-,-,-
20180303,2018,3,3,9,5,星期六,休息,-,-,-
20180304,2018,3,4,9,6,星期日,休息,-,-,-
20180305,2018,3,5,10,0,星期一,上班,-,-,-
20180306,2018,3,6,10,1,星期二,上班,-,-,-
20180307,2018,3,7,10,2,星期三,上班,-,-,-
20180308,2018,3,8,10,3,星期四,上班,-,-,-
20180309,2018,3,9,10,4,星期五,上班,-,-,-
20180310,2018,3,10,10,5,星期六,休息,-,-,-
