日期,年,月,日,周序号,周内序号,周内名称,工作标记,假日标记,工作标记-补充,是否法定假日
20190101,2019,1,1,1,1,星期二,休息,元旦节,休息,是
20190102,2019,1,2,1,2,星期三,上班,-,-,-
20190103,2019,1,3,1,3,星期四,上班,-,-,-
20190104,2019,1,4,1,4,星期五,上班,-,-,-
20190105,2019,1,5,1,5,星期六,休息,-,-,-
20190106,2019,1,6,1,6,星期日,休息,-,-,-
20190107,2019,1,7,2,0,星期一,上班,-,-,-
20190108,2019,1,8,2,1,星期二,上班,-,-,-
20190109,2019,1,9,2,2,星期三,上班,-,-,-
20190110,2019,1,10,2,3,星期四,上班,-,-,-
20190111,2019,1,11,2,4,星期五,上班,-,-,-
20190112,2019,1,12,2,5,星期六,休息,-,-,-
20190113,2019,1,13,2,6,星期日,休息,-,-,-
20190114,2019,1,14,3,0,星期一,上班,-,-,-
20190115,2019,1,15,3,1,星期二,上班,-,-,-
20190116,2019,1,16,3,2,星期三,上班,-,-,-
20190117,2019,1,17,3,3,星期四,上班,-,-,-
20190118,2019,1,18,3,4,星期五,上班,-,-,-
20190119,2019,1,19,3,5,星期六,休息,-,-,-
20190120,2019,1,20,3,6,星期日,休息,-,-,-
20190121,2019,1,21,4,0,星期一,上班,-,-,-
20190122,2019,1,22,4,1,星期二,上班,-,-,-
20190123,2019,1,23,4,2,星期三,上班,-,-,-
20190124,2019,1,24,4,3,星期四,上班,-,-,-
20190125,2019,1,25,4,4,星期五,上班,-,-,-
20190126,2019,1,26,4,5,星期六,休息,-,-,-
20190127,2019,1,27,4,6,星期日,休息,-,-,-
20190128,2019,1,28,5,0,星期一,上班,-,-,-
20190129,2019,1,29,5,1,星期二,上班,-,-,-
20190130,2019,1,30,5,2,星期三,上班,-,-,-
20190131,2019,1,31,5,3,星期四,上班,-,-,-
20190201,2019,2,1,5,4,星期五,上班,-,-,-
20190202,2019,2,2,5,5,星期六,补班,—,补班,否
20190203,2019,2,3,5,6,星期日,补班,—,补班,否
20190204,2019,2,4,6,0,星期一,休息,除夕,休息,是
20190205,2019,2,5,6,1,星期二,休息,春节,休息,是
20190206,2019,2,6,6,2,星期三,休息,春节,休息,是
20190207,2019,2,7,6,3,星期四,休息,春节,休息,否
20190208,2019,2,8,6,4,星期五,休息,春节,休息,否
20190209,2019,2,9,6,5,星期六,休息,春节,休息,否
20190210,2019,2,10,6,6,星期日,休息,春节,休息,否
20190211,2019,2,11,7,0,星期一,上班,-,-,-
20190212,2019,2,12,7,1,星期二,上班,-,-,-
20190213,2019,2,13,7,2,星期三,上班,-,-,-
20190214,2019,2,14,7,3,星期四,上班,-,-,-
20190215,2019,2,15,7,4,星期五,上班,-,-,-
20190216,2019,2,16,7,5,星期六,休息,-,-,-
20190217,2019,2,17,7,6,星期日,休息,-,-,-
20190218,2019,2,18,8,0,星期一,上班,-,-,-
20190219,2019,2,19,8,1,星期二,上班,-,-,-
20190220,2019,2,20,8,2,星期三,上班,-,-,-
20190221,2019,2,21,8,3,星期四,上班,-,-,-
20190222,2019,2,22,8,4,星期五,上班,-,-,-
20190223,2019,2,23,8,5,星期六,休息,-,-,-
20190224,2019,2,24,8,6,星期日,休息,-,-,-
20190225,2019,2,25,9,0,星期一,上班,-,-,-
20190226,2019,2,26,9,1,星期二,上班,-,-,-
20190227,2019,2,27,9,2,星期三,上班,-,-,-
20190228,2019,2,28,9,3,星期四,上班,-,-,-
20190301,2019,3,1,9,4,星期五,上班,-,-,-
20190302,2019,3,2,9,5,星期六,休息,-,-,-
20190303,2019,3,3,9,6,星期日,休息,-,-,-
